name,id,minutes,round,total_points,value,was_home,GW
Aaron_Cresswell_402,13716,90,25,2,50,TRUE,25
Aaron_Lennon_83,13350,0,25,0,49,TRUE,25
Aaron_Mooy_199,13489,90,25,2,50,FALSE,25
Aaron_Ramsey_14,13281,24,25,1,72,FALSE,25
Aaron_Wan-Bissaka_145,13412,90,25,5,46,TRUE,25
Abd-Al-Ali Morakinyo Olaposi_Koiki_564,13888,0,25,0,40,TRUE,25
Abdelhamid_Sabiri_205,13495,0,25,0,43,FALSE,25
Abdoulaye_Doucour�_390,13703,0,25,0,59,FALSE,25
Aboubakar_Kamara_189,13479,0,25,0,45,FALSE,25
Adalberto_Pe�aranda_554,13878,0,25,0,50,FALSE,25
Adama_Diakhaby_471,13787,83,25,2,45,FALSE,25
Adama_Traor�_500,13817,1,25,1,51,FALSE,25
Adam_Lallana_250,13541,68,25,2,69,FALSE,25
Adam_Masina_386,13699,0,25,0,43,FALSE,25
Adam_Smith_29,13296,90,25,0,43,FALSE,25
Ademola_Lookman_170,13453,30,25,1,51,TRUE,25
Ademola_Lookman_170,13454,0,25,0,51,TRUE,25
Adrian_Mariappa_382,13695,90,25,6,42,FALSE,25
Adrien Sebastian_Perruchet Silva_231,13522,0,25,0,47,TRUE,25
Adri�n_San Miguel del Castillo_399,13713,0,25,0,43,TRUE,25
Ainsley_Maitland-Niles_20,13287,0,25,0,44,FALSE,25
Alberto_Moreno_240,13531,0,25,0,41,FALSE,25
Aleksandar_Mitrovic_480,13796,90,25,2,65,FALSE,25
Alexander_S�rloth_153,13420,0,25,0,48,TRUE,25
Alexandre Nascimento_Costa Silva_560,13884,0,25,0,45,TRUE,25
Alexandre_Lacazette_22,13289,90,25,2,93,FALSE,25
Alexis_S�nchez_295,13608,66,25,3,100,FALSE,25
Alex_Iwobi_15,13282,65,25,2,54,FALSE,25
Alex_McCarthy_328,13641,90,25,4,44,FALSE,25
Alex_Oxlade-Chamberlain_248,13539,0,25,0,64,FALSE,25
Alex_Pritchard_206,13496,6,25,1,48,FALSE,25
Alex_Smithies_89,13356,0,25,0,43,TRUE,25
Alfie_Jones_595,13919,0,25,0,40,FALSE,25
Alfie_Mawson_487,13804,0,25,0,48,FALSE,25
Alfie_Whiteman_538,13862,0,25,0,40,TRUE,25
Alireza_Jahanbakhsh_476,13792,0,25,0,67,TRUE,25
Alisson_Ramses Becker_468,13782,90,25,2,60,FALSE,25
Anders_Lindegaard_485,13802,0,25,0,43,TRUE,25
Ander_Herrera_299,13612,90,25,3,50,FALSE,25
Andreas_Christensen_119,13386,90,25,6,50,TRUE,25
Andreas_Pereira_481,13797,0,25,0,45,FALSE,25
Andrew_Robertson_247,13538,90,25,2,68,FALSE,25
Andrew_Surman_35,13302,90,25,2,46,FALSE,25
Andre_Gray_395,13709,20,25,1,59,FALSE,25
Andriy_Yarmolenko_453,13767,0,25,0,67,TRUE,25
Andros_Townsend_149,13416,90,25,3,58,TRUE,25
Andr� Filipe_Tavares Gomes_508,13827,90,25,9,54,TRUE,25
