name,fixture,minutes,opponent_team,round,total_points,value,was_home,GW
Aaron_Cresswell_376,8,90,11,1,0,50,TRUE,1
Aaron_Lennon_430,3,6,16,1,1,50,TRUE,1
Aaron_Mooy_516,7,0,18,1,0,50,FALSE,1
Aaron_Ramsdale_494,2,90,15,1,2,45,TRUE,1
Aaron_Wan-Bissaka_122,9,90,6,1,8,55,TRUE,1
Abdoulaye_Doucouré_368,7,90,4,1,0,60,TRUE,1
Adama_Traoré_417,5,0,9,1,0,50,FALSE,1
Adam_Lallana_195,1,0,14,1,0,60,TRUE,1
Adam_Masina_355,7,0,4,1,0,45,TRUE,1
Adam_Smith_63,2,90,15,1,1,45,TRUE,1
Adam_Webster_493,7,0,18,1,0,45,FALSE,1
Ademola_Lookman_155,4,0,7,1,0,50,FALSE,1
Adrian_Mariappa_356,7,0,4,1,0,45,TRUE,1
Adrián_San Miguel del Castillo_526,1,51,14,1,1,45,TRUE,1
Ahmed_El Mohamady_22,6,90,17,1,1,45,FALSE,1
Ainsley_Maitland-Niles_4,10,90,13,1,12,50,FALSE,1
Albian_Ajeti_514,8,0,11,1,0,60,TRUE,1
Alexander_Tettey_289,1,0,10,1,0,45,FALSE,1
Alexandre Nascimento_Costa Silva_387,8,0,11,1,0,45,TRUE,1
Alexandre_Lacazette_12,10,0,13,1,0,95,FALSE,1
Alexis_Sánchez_240,9,0,6,1,0,70,TRUE,1
Alex_Iwobi_17,4,0,7,1,0,60,FALSE,1
Alex_McCarthy_318,3,0,5,1,0,45,FALSE,1
Alex_Oxlade-Chamberlain_193,1,0,14,1,0,65,TRUE,1
Alireza_Jahanbakhsh_50,7,0,18,1,0,60,FALSE,1
Alisson_Ramses Becker_189,1,38,14,1,1,60,TRUE,1
Allan_Saint-Maximin_500,10,23,1,1,1,55,TRUE,1
Andreas_Christensen_108,9,90,12,1,0,50,FALSE,1
Andreas_Pereira_246,9,73,6,1,6,50,TRUE,1
Andrew_Robertson_181,1,90,14,1,2,70,TRUE,1
Andrew_Surman_80,2,0,15,1,0,50,TRUE,1
Andre_Gray_364,7,74,4,1,2,60,TRUE,1
Andre_Green_32,6,0,17,1,0,50,FALSE,1
Andriy_Yarmolenko_392,8,0,11,1,0,60,TRUE,1
Andros_Townsend_135,4,90,8,1,3,60,TRUE,1
André Filipe_Tavares Gomes_422,4,45,7,1,1,55,FALSE,1
Andy_Carroll_520,10,0,1,1,0,55,TRUE,1
Andy_King_480,5,0,20,1,0,45,TRUE,1
Angelo_Ogbonna_377,8,0,11,1,0,45,TRUE,1
Angel_Gomes_245,9,0,6,1,0,50,TRUE,1
Angus_Gunn_319,3,90,5,1,1,45,FALSE,1
Anthony_Knockaert_52,7,0,18,1,0,55,FALSE,1
Anthony_Martial_239,9,90,6,1,7,75,TRUE,1
Antonio_Rüdiger_104,9,0,12,1,0,60,FALSE,1
Anwar_El Ghazi_30,6,90,17,1,2,55,FALSE,1
Arnaut_Danjuma Groeneveld_492,2,0,15,1,0,60,TRUE,1
Arthur_Masuaku_378,8,0,11,1,0,45,TRUE,1
Artur_Boruc_73,2,0,15,1,0,45,TRUE,1
Ashley_Barnes_90,3,83,16,1,13,65,TRUE,1
Ashley_Westwood_101,3,90,16,1,3,55,TRUE,1
Ashley_Young_224,9,0,6,1,0,55,TRUE,1
Asmir_Begovic_72,2,0,15,1,0,45,TRUE,1
Axel_Tuanzebe_481,9,0,6,1,0,45,TRUE,1
Aymeric_Laporte_202,8,90,19,1,6,65,FALSE,1
Ayoze_Pérez_265,5,75,20,1,3,65,TRUE,1
Bailey_Peacock-Farrell_495,3,0,16,1,0,45,TRUE,1
Bamidele_Alli_344,6,0,2,1,0,85,TRUE,1
Benjamin_Chilwell_161,5,90,20,1,6,55,TRUE,1
Benjamin_Mendy_204,8,0,19,1,0,60,FALSE,1
Ben_Davies_329,6,0,2,1,0,55,TRUE,1
Ben_Foster_366,7,90,4,1,1,50,TRUE,1
Ben_Gibson_89,3,0,16,1,0,40,TRUE,1
Ben_Godfrey_273,1,90,10,1,0,45,FALSE,1
Ben_Johnson_384,8,0,11,1,0,40,TRUE,1
Ben_Mee_83,3,90,16,1,6,50,TRUE,1
Ben_Osborn_472,2,0,3,1,0,50,FALSE,1
Beram_Kayal_56,7,0,18,1,0,45,FALSE,1
Bernardo Mota_Veiga de Carvalho e Silva_218,8,0,19,1,0,80,FALSE,1
Bernardo_Fernandes da Silva Junior_39,7,1,18,1,1,45,FALSE,1
Bernard_Anício Caldeira Duarte_152,4,90,7,1,2,65,FALSE,1
Bernd_Leno_14,10,90,13,1,7,50,FALSE,1
Billy_Sharp_298,2,8,3,1,8,60,FALSE,1
Birkir_Bjarnason_33,6,0,17,1,0,45,FALSE,1
Bjorn_Engels_455,6,90,17,1,1,45,FALSE,1
Callum_Hudson-Odoi_116,9,0,12,1,0,60,FALSE,1
Callum_Robinson_453,2,90,3,1,2,55,FALSE,1
Callum_Slattery_327,3,0,5,1,0,45,FALSE,1
Callum_Wilson_67,2,89,15,1,5,80,TRUE,1
Calum_Chambers_467,10,90,13,1,6,45,FALSE,1
Carlos_Sánchez_397,8,0,11,1,0,45,TRUE,1
Carl_Jenkinson_9,10,0,13,1,0,45,FALSE,1
Cenk_Tosun_146,4,0,7,1,0,60,FALSE,1
Charlie_Austin_312,3,0,5,1,0,60,FALSE,1
Charlie_Daniels_60,2,0,15,1,0,45,TRUE,1
Charlie_Taylor_87,3,0,16,1,0,45,TRUE,1
Cheikhou_Kouyaté_139,4,0,8,1,0,50,TRUE,1
Che_Adams_437,3,72,5,1,2,60,FALSE,1
Christian_Atsu_267,10,0,1,1,0,55,TRUE,1
Christian_Benteke_129,4,82,8,1,2,60,TRUE,1
Christian_Eriksen_343,6,26,2,1,1,90,TRUE,1
Christian_Fuchs_163,5,0,20,1,0,45,TRUE,1
Christian_Kabasele_354,7,0,4,1,0,45,TRUE,1
Christian_Pulisic_431,9,32,12,1,1,75,FALSE,1
Christoph_Zimmermann_275,1,0,10,1,0,45,FALSE,1
Chris_Basham_423,2,81,3,1,2,45,FALSE,1
Chris_Mepham_61,2,90,15,1,10,45,TRUE,1
Chris_Smalling_223,9,0,6,1,0,55,TRUE,1
Chris_Wood_91,3,90,16,1,2,65,TRUE,1
Ciaran_Clark_259,10,0,1,1,0,45,TRUE,1
Claudio_Bravo_213,8,0,19,1,0,50,FALSE,1
Connor_Wickham_130,4,7,8,1,1,45,TRUE,1
Conor_Coady_403,5,90,9,1,6,50,FALSE,1
Conor_Hourihane_28,6,81,17,1,2,60,FALSE,1
Craig_Cathcart_358,7,90,4,1,1,45,TRUE,1
Craig_Dawson_439,7,90,4,1,1,50,TRUE,1
